的	[白勹丶Ⓨ,rqyy,de_dí_dì]
躞	[口止火又,khoc,xiè]
霪	[⻗氵爫士,fief,yín]
鋈	[氵㇒大金,itdq,wù]
鲠	[魚㇒一乂,qggq,gěng]
鳏	[魚㇒罒,qgli,guān]
鳘	[𠂉母一一,txgg,mǐn]
鳢	[魚㇒冂丷,qgmu,lǐ]
骰	[骨冃几又,memc,tóu_shǎi]
餮	[一夕人𧘇,gqwe,tiè]
菏	[艹氵丁口,aisk,hé]
乜	[𠃌乚Ⓥ,nnv,miē_niè]
乩	[⺊口乚Ⓝ,hknn,jī]
诜	[讠㇒土儿,ytfq,shēn]
谌	[讠卄三㇗,yadn,chén_shèn]
阢	[阝一儿Ⓝ,bgqn,wù_wéi]
鄹	[耳又㇒阝,bctb,zōu]
劬	[勹口力Ⓝ,qkln,qú]
勐	[子皿力Ⓝ,blln,měng]
埏	[土㇒止廴,fthp,yán_shān]
墉	[土广彐丨,fyvh,yōng]
茌	[艹亻士Ⓕ,awff,chí]
茚	[艹氏一卩,aqgb,yìn]
茱	[艹𠂉小Ⓤ,ariu,zhū]
荞	[艹㇒大Ⓙ,atdj,qiáo]
菥	[艹木斤Ⓙ,asrj,xī_sī]
菘	[艹木八厶,aswc,sōng]
萜	[艹冂丨口,amhk,tiē]
菔	[艹月卩又,aebc,fú]
菅	[艹宀ココ,apnn,jiān]
葳	[艹厂一丿,adgt,wēi]
藁	[艹亠冂木,ayms,gǎo]
呲	[口止匕Ⓝ,khxn,zī_cī]
哕	[口山夕Ⓨ,kmqy,yuě_huì]
哌	[口斤𧘇Ⓨ,krey,pài_gū]
哏	[口彐𧘇Ⓨ,kvey,gén_hěn]
嘬	[口曰耳又,kjbc,zuō_chuài]
噌	[口丷罒曰,kulj,cēng_chēng]
崤	[山ㄨ𠂇冃,mqde,xiáo_yáo]
嵫	[山丷幺幺,muxx,zī]
狨	[犭㇒戈𠂇,qtad,róng]
狺	[犭㇒言Ⓖ,qtyg,yín]
飧	[夕人丶𧘇,qwye,sūn]
饩	[⺈㇙𠂉⺄,qnrn,xì]
馐	[⺈㇙丷二,qnuf,xiū]
庥	[广亻木Ⓘ,ywsi,xiū]
怙	[忄古Ⓖ,ndg,hù]
怍	[忄𠂉丨二,nthf,zuò_zhà]
悃	[忄囗木Ⓨ,nlsy,kǔn]
泷	[氵犬匕Ⓝ,idxn,lóng_shuāng]
泫	[氵亠幺Ⓨ,iyxy,xuàn]
浈	[氵⺊贝Ⓨ,ihmy,zhēn]
渑	[氵口曰乚,ikjn,miǎn_shéng]
溲	[氵臼丨又,ivhc,sōu]
滢	[氵艹冖丶,iapy,yíng]
宄	[宀九Ⓑ,pvb,guǐ]
迓	[ヰ㇚丿辶,ahtp,yà]
尻	[尸九Ⓥ,nvv,kāo]
妣	[女匕匕Ⓝ,vxxn,bǐ]
妫	[女丶力丶,vyly,guī]
娉	[女由一㇉,vmgn,pīng]
骜	[龶ク攵马,gqtc,áo]
骟	[马丶尸羽,cynn,shàn]
缧	[纟田幺小,xlxi,léi]
瑷	[王爫冖又,gepc,ài]
杌	[木一儿Ⓝ,sgqn,wù]
枰	[木一丷丨,sguh,píng]
柝	[木斤丶Ⓨ,sryy,tuò]
桄	[木光儿Ⓝ,siqn,guāng_guàng]
椹	[木卄三㇗,sadn,zhēn_shèn]
辂	[车夂口Ⓖ,ltkg,lù]
暝	[日冖曰六,jpju,míng]
氍	[目目亻乚,hhwn,qú]
氕	[𠂉⺄丿Ⓡ,rntr,piē]
氤	[𠂉⺄囗大,rnld,yīn]
胗	[月人彡Ⓣ,ewet,zhēn]
朕	[月丷大Ⓨ,eudy,zhèn]
膻	[月亠囗一,eylg,shān_dàn]
熘	[火氏丶田,oqyl,liū]
燠	[火㇒冂大,otmd,yù]
砀	[石𠄎〃Ⓣ,dnrt,dàng]
砦	[止匕石Ⓕ,hxdf,zhài]
礞	[石艹冖豕,dape,méng]
睇	[目丷弓丿,huxt,dì]
钌	[钅了Ⓗ,qbh,liǎo_liào]
钔	[钅门Ⓝ,qun,mén]
铈	[钅亠冂丨,qymh,shì]
锃	[钅口王Ⓖ,qkgg,zèng]
镄	[钅弓〢贝,qxjm,fèi]
锺	[钅㇒一土,qtgf,zhōng]
穰	[禾亠口𧘇,tyke,ráng]
瓠	[大二㇉㇏,dfny,hù]
瘭	[疒覀二小,usfi,biāo]
裢	[衤车辶,pulp,lián_shāo]
裎	[衤口王,pukg,chéng_chěng]
襁	[衤弓虫,puxj,qiǎng]
蛩	[工几丶虫,amyj,qióng]
蝥	[マ了丿虫,cbtj,máo]
筢	[⺮扌巴Ⓑ,trcb,pá]
酢	[西一𠂉二,sgtf,zuò_cù]
醮	[西一亻灬,sgwo,jiào]
跬	[口止土土,khff,kuǐ]
觚	[⺈用斤㇏,qery,gū]
觫	[⺈用一小,qegi,sù]
龀	[止人凵匕,hwbx,chèn]
鲺	[魚㇒⺄虫,qgnj,shī]
鳓	[魚㇒廿力,qgal,lè]
骺	[骨冃斤口,merk,hóu]
黢	[罒土灬夂,lfot,qū]
诶	[讠厶𠂉大,yctd,ēi_éi_ěi_èi_xī]
後	[彳幺夂Ⓨ,txty,hòu]
缟	[纟亠冂口,xymk,gǎo]
桁	[木彳二㇚,stfh,héng_háng]
钯	[钅巴Ⓝ,qcn,bǎ_pá]
痣	[疒士心Ⓘ,ufni,zhì]
颌	[人一口贝,wgkm,hé_gé]
傧	[亻宀斤八,wprw,bīn]
谂	[讠人丶心,ywyn,shěn]
掴	[扌囗王丶,rlgy,guó_guāi]
剌	[一口小刂,gkij,là_lá]
脔	[亠亦冂人,yomw,luán_jī]
萸	[艹臼人Ⓤ,avwu,yú]
峋	[山勹日Ⓖ,mqjg,xún]
庠	[广丷羊Ⓚ,yudk,xiáng]
庹	[广廿尸㇏,yany,tuǒ]
泱	[氵冂大Ⓨ,imdy,yāng]
鲈	[魚㇒⺊尸,qghn,lú]
薹	[艹士口土,afkf,tái]
捱	[扌厂土土,rdff,ái]
呦	[口幺力Ⓝ,kxln,yōu]
圊	[囗龶冃Ⓓ,lged,qīng]
岈	[山ヰ㇚丿,maht,yá_xiā]
狳	[犭㇒人禾,qtwt,yú]
缯	[纟丷罒曰,xulj,zēng_zèng]
珲	[王冖车Ⓗ,gplh,hún_huī]
旯	[曰九Ⓑ,jvb,lá]
鹕	[古月勹一,deqg,hú]
顸	[干丆贝Ⓨ,fdmy,hān]
螈	[虫厂白小,jdri,yuán]
龉	[止人凵口,hwbk,yǔ]
捌	[扌口力刂,rklj,bā]
疥	[疒人〢Ⓚ,uwjk,jiè]
疽	[疒冃一Ⓓ,uegd,jū]
柒	[氵七木Ⓤ,iasu,qī]
鼗	[氺儿士又,iqfc,táo]
厣	[厂犬甲Ⓚ,ddlk,yǎn]
刿	[山夕刂Ⓗ,mqjh,guì]
蒯	[艹月月刂,aeej,kuǎi]
仂	[亻力Ⓝ,wln,lè]
仫	[亻丿厶Ⓨ,wtcy,mù]
伲	[亻尸匕Ⓝ,wnxn,nǐ_nì]
佴	[亻耳Ⓖ,wbg,èr_nài]
俦	[亻三丿寸,wdtf,chóu]
倮	[亻曰木Ⓨ,wjsy,luǒ]
裒	[亠臼𧘇Ⓤ,yveu,póu]
蠃	[亠㇗口丶,ynky,luǒ]
诔	[讠三小Ⓨ,ydiy,lěi]
诹	[讠耳又Ⓨ,ybcy,zōu]
谝	[讠丶尸卄,yyna,piǎn]
阼	[阝𠂉丨二,bthf,zuò]
陴	[阝白丿十,brtf,pī_pí]
邗	[干阝Ⓗ,fbh,hán]
邙	[亠㇗阝Ⓗ,ynbh,máng]
邾	[𠂉小阝Ⓗ,ribh,zhū]
郐	[人二厶阝,wfcb,kuài]
郗	[ㄨ𠂇冂阝,qdmb,xī_chī]
劭	[刀口力Ⓝ,vkln,shào]
坼	[土斤丶Ⓨ,fryy,chè]
坻	[土氏弋丶,fqay,dǐ_chí]
埕	[土口王Ⓖ,fkgg,chéng]
埸	[土曰勹Ⓡ,fjqr,yì]
堍	[土⺈口丶,fqky,tù]
艽	[艹九Ⓑ,avb,jiāo_qiú]
芨	[艹乃㇏Ⓤ,aeyu,jī_jí]
芎	[艹弓Ⓑ,axb,xiōng_qiōng_qióng]
芑	[艹己Ⓑ,anb,qǐ]
芾	[艹一冂丨,agmh,fèi_fú]
芰	[艹十又Ⓤ,afcu,jì]
苈	[艹厂力Ⓑ,adlb,lì]
芩	[艹人丶㇇,awyn,qín]
芪	[艹氏弋Ⓑ,aqab,qí_chí]
苤	[艹一个一,agig,piě]
苘	[艹冂口Ⓕ,amkf,qǐng]
苻	[艹亻寸Ⓤ,awfu,fú]
茑	[艹勹丶一,aqyg,niǎo]
莩	[艹爫子Ⓕ,aebf,fú_piǎo]
萑	[艹亻圭Ⓕ,awyf,huán_zhuī_tuī]
蒉	[艹口丨贝,akhm,kuì_kuài]
葶	[艹亠冖丁,ayps,tíng]
蒎	[艹氵斤𧘇,aire,pài]
蔌	[艹一口人,agkw,sù]
甍	[艹罒冖㇈,alpn,méng]
蔹	[艹人一攵,awgt,liǎn]
蕖	[艹氵匚木,aias,qú]
薤	[艹一夕一,agqg,xiè]
薜	[艹尸口辛,anku,bì]
薷	[艹⻗丆Ⓙ,afdj,rú]
蘅	[艹彳魚㇚,atqh,héng]
匏	[大二㇉巳,dfnn,páo]
尥	[𠂇乚勹丶,dnqy,liào]
捩	[扌丶尸犬,rynd,liè]
揠	[扌匚曰女,rajv,yà]
揎	[扌宀一一,rpgg,xuān]
搋	[扌斤虍几,rrhm,chuāi]
吒	[口㇒七Ⓝ,ktan,zhà_zhā]
呒	[口二儿Ⓝ,kfqn,fǔ_ḿ]
咣	[口光儿Ⓝ,kiqn,guāng]
唪	[口三人丨,kdwh,fěng]
唼	[口立女Ⓖ,kuvg,shà_shǎ]
喈	[口匕匕白,kxxr,jiē]
嗪	[口三人禾,kdwt,qín]
嗲	[口八乂夕,kwqq,diǎ]
嗍	[口丷凵月,kube,suō_shuò]
嗾	[口方𠂉大,kytd,sǒu]
岘	[山冂儿Ⓝ,mmqn,xiàn]
岙	[㇒大山Ⓙ,tdmj,ào]
岢	[山丁口Ⓕ,mskf,kě]
岣	[山勹口Ⓖ,mqkg,gǒu]
峁	[山氏丿卩,mqtb,mǎo]
彳	[彳㇒丿丨,ttth,chì]
狁	[犭㇒厶儿,qtcq,yǔn]
狲	[犭㇒孑小,qtbi,sūn]
猃	[犭㇒人兴,qtwi,xiǎn]
猊	[犭㇒臼儿,qtvq,ní]
猢	[犭㇒古月,qtde,hú]
猱	[犭㇒マ木,qtcs,náo]
獯	[犭㇒㇒灬,qtto,xūn]
庳	[广白丿十,yrtf,bēi_bì_pí]
廨	[广⺈用丨,yqeh,xiè]
忮	[忄十又Ⓨ,nfcy,zhì]
怫	[忄弓〢Ⓗ,nxjh,fú_fèi]
隳	[阝𠂇工,bdan,huī_duò]
闶	[门亠几Ⓥ,uymv,kàng_kāng]
阒	[门目犬Ⓘ,uhdi,qù]
洵	[氵勹日Ⓖ,iqjg,xún]
涠	[氵囗二丨,ilfh,wéi]
溱	[氵三人禾,idwt,zhēn_qín]
溷	[氵囗豕Ⓨ,iley,hùn]
澹	[氵⺈厂言,iqdy,dàn_tán]
澶	[氵亠囗一,iylg,chán]
宥	[宀𠂇冃Ⓕ,pdef,yòu]
寤	[宀㇗丨口,pnhk,wù]
妪	[女匚ㄨⓎ,vaqy,yù]
姝	[女𠂉小Ⓨ,vriy,shū]
娲	[女口冂人,vkmw,wā]
婊	[女龶𧘇Ⓨ,vgey,biǎo]
媪	[女曰皿Ⓖ,vjlg,ǎo_wò_yǔn]
嫫	[女艹曰大,vajd,mó]
嫒	[女爫冖又,vepc,ài]
嫱	[女十丷口,vfuk,qiáng]
骖	[马厶大彡,ccde,cān]
骘	[阝止少马,bhic,zhì]
骝	[马氏丶田,cqyl,liú]
纡	[纟一十Ⓗ,xgfh,yū]
绔	[纟大二㇉,xdfn,kù]
绠	[纟一曰乂,xgjq,gěng]
绨	[纟丷弓丿,xuxt,tí_tì]
缇	[纟曰一龰,xjgh,tí]
缌	[纟田心Ⓨ,xlny,sī]
缛	[纟厂二寸,xdff,rù]
缲	[纟口口木,xkks,qiāo_sāo]
缳	[纟罒一𧘇,xlge,huán]
珥	[王耳Ⓖ,gbg,ěr]
璎	[王贝贝女,gmmv,yīng]
杓	[木勹丶Ⓨ,sqyy,sháo_biāo]
杪	[木小丿Ⓣ,sitt,miǎo]
栌	[木⺊尸Ⓣ,shnt,lú]
柁	[木宀匕Ⓝ,spxn,tuó_duò]
栳	[木土丿匕,sftx,lǎo]
栝	[木㇒古Ⓖ,stdg,guā_tiǎn_kuò]
棰	[木㇒一士,stgf,chuí]
椋	[木亠小Ⓨ,syiy,liáng]
椁	[木亠子Ⓖ,sybg,guǒ]
槿	[木廿口𤯓,sakg,jǐn]
樘	[木⺌冖土,sipf,táng_chěng]
橥	[犭㇒土木,qtfs,zhū]
殛	[一夕了一,gqbg,jí]
轷	[车㇒丷㇚,ltuh,hū]
轺	[车刀口Ⓖ,lvkg,yáo]
轾	[车一厶土,lgcf,zhì]
辏	[车三人大,ldwd,còu]
軎	[一曰十口,gjfk,wèi]
瓴	[人丶マ㇈,wycn,líng]
昀	[日勹冫Ⓖ,jqug,yún]
昝	[夂卜曰Ⓕ,thjf,zǎn]
晡	[日一冃丶,jgey,bū]
暾	[日亠孑攵,jybt,tūn]
贶	[贝口儿Ⓝ,mkqn,kuàng]
赕	[贝火火Ⓨ,mooy,dǎn]
觇	[⺊口冂儿,hkmq,chān]
觏	[二〢一儿,fjgq,gòu]
牮	[亻戈𠂉丨,warh,jiàn]
挲	[氵小丿手,iitr,suō_shā]
毪	[㇒二乚丨,tfnh,mú]
氲	[𠂉⺄曰皿,rnjl,yūn_yún]
肫	[月一凵乚,egbn,zhūn_chún]
肭	[月冂人Ⓨ,emwy,nà]
胍	[月斤厶㇏,ercy,guā]
胴	[月冂一口,emgk,dòng]
脶	[月口冂人,ekmw,luó]
腩	[月十冂十,efmf,nǎn]
欹	[大丁口人,dskw,qī_yī]
炝	[火人㔾Ⓝ,owbn,qiàng]
焐	[火五口Ⓖ,ogkg,wù]
爝	[火爫罒寸,oelf,jué]
扃	[丶尸冂口,ynmk,jiōng]
祢	[礻冖小,pyqi,mí]
禳	[礻亠𧘇,pyye,ráng]
悫	[士冖几心,fpmn,què]
愍	[尸弋攵心,natn,mǐn]
慝	[匚艹𠂇心,aadn,tè]
砗	[石车Ⓗ,dlh,chē]
硗	[石弋丿儿,datq,qiāo]
磲	[石氵匚木,dias,qú]
礅	[石亠孑攵,dybt,dūn]
黹	[卝一丷小,ogui,zhǐ]
眢	[夕㔾目Ⓕ,qbhf,yuān]
眙	[目厶口Ⓖ,hckg,yí_chì]
瞍	[目臼丨又,hvhc,sǒu]
疃	[田立曰土,lujf,tuǎn]
罡	[罒一止Ⓕ,lghf,gāng]
罴	[罒土厶灬,lfco,pí]
罹	[罒忄亻圭,lnwy,lí]
罾	[罒丷罒曰,lulj,zēng]
钿	[钅田Ⓖ,qlg,diàn_tián]
铘	[钅ヰ㇚阝,qahb,yé]
锇	[钅㇒扌丿,qtrt,é]
锬	[钅火火Ⓨ,qooy,tán]
锾	[钅爫二又,qefc,huán]
镔	[钅宀斤八,qprw,bīn]
镟	[钅方𠂉龰,qyth,xuàn]
镤	[钅卝一㇏,qogy,pú]
镲	[钅宀癶小,qpwi,chǎ]
皤	[白㇒米田,rtol,pó]
鸺	[亻木勹一,wsqg,xiū]
鹁	[十冖孑一,fpbg,bó]
鹂	[一冂丶一,gmyg,lí]
鹣	[丷彐亦一,uvog,jiān]
鹬	[マ了丿一,cbtg,yù]
鹳	[艹口口一,akkg,guàn]
疔	[疒丁Ⓚ,usk,dīng]
疳	[疒卄二Ⓓ,uafd,gān]
瘃	[疒豕丶Ⓘ,ueyi,zhú]
痿	[疒禾女Ⓓ,utvd,wěi]
瘥	[疒丷龵工,uuda,chài_cuó]
瘼	[疒艹曰大,uajd,mò]
瘵	[疒癶二小,uwfi,zhài]
癜	[疒尸龷又,unac,diàn]
窬	[宀八人刂,pwwj,yú]
衿	[衤人㇇,puwn,jīn]
袢	[衤丷十,puuf,pàn]
襦	[衤⻗Ⓙ,pufj,rú]
襻	[衤木手,pusr,pàn]
耜	[三小ココ,dinn,sì]
耱	[三小广石,diyd,mò]
耋	[土丿匕土,ftxf,dié]
颟	[艹一冂贝,agmm,mān]
颢	[曰亠小贝,jyim,hào]
颥	[⻗丆冂贝,fdmm,rú]
颦	[止少丆十,hidf,pín]
虿	[丆𠃌虫Ⓤ,dnju,chài]
蚺	[虫冂土Ⓖ,jmfg,rán]
蛲	[虫弋丿儿,jatq,náo]
蛘	[虫丷羊Ⓗ,judh,yáng]
蛑	[虫厶𠂉丨,jcrh,móu]
蛸	[虫⺌冃Ⓖ,jieg,xiāo_shāo]
蜊	[虫禾刂Ⓗ,jtjh,lì_lí]
蜞	[虫卄三八,jadw,qí]
蜾	[虫曰木Ⓨ,jjsy,guǒ]
蜩	[虫冂土口,jmfk,tiáo]
蝾	[虫艹冖木,japs,róng]
蝰	[虫大土土,jdff,kuí]
螵	[虫覀二小,jsfi,piāo]
蠖	[虫艹亻又,jawc,huò]
罅	[𠂉山虍㇚,rmhh,xià]
笏	[⺮勹〃Ⓡ,tqrr,hù]
筅	[⺮㇒土儿,ttfq,xiǎn]
筮	[⺮工人人,taww,shì]
篑	[⺮口丨贝,tkhm,kuì]
舄	[臼勹灬Ⓤ,vqou,xì]
臬	[㇒目木Ⓤ,thsu,niè]
衄	[㇒皿㇆土,tlnf,nǜ]
舯	[㇒舟口丨,tekh,zhōng]
舳	[㇒舟由Ⓖ,temg,zhú]
敉	[米攵Ⓨ,oty,mǐ]
糁	[米厶大彡,ocde,sǎn_shēn]
糇	[米亻ユ大,ownd,hóu]
糍	[米丷幺幺,ouxx,cí]
艮	[彐𧘇Ⓘ,vei,gèn_gěn]
翥	[土丿曰羽,ftjn,zhù]
絷	[扌九丶小,rvyi,zhí]
纛	[龶母十小,gxfi,dào]
麴	[木人人米,swwo,qū]
酤	[西一古Ⓖ,sgdg,gū]
酡	[西一宀匕,sgpx,tuó]
酩	[西一夕口,sgqk,mǐng]
酹	[西一爫寸,sgef,lèi]
醐	[西一古月,sgde,hú]
醍	[西一曰龰,sgjh,tí_tǐ]
跏	[口止力口,khlk,jiā]
跆	[口止厶口,khck,tái]
蹯	[口止㇒田,khtl,fán]
貘	[爫犭艹大,eead,mò]
觯	[⺈用丷十,qeuf,zhì]
謦	[士尸几言,fnmy,qǐng_qì]
龅	[止人凵巳,hwbn,bāo]
黾	[口曰乚Ⓑ,kjnb,mǐn_miǎn_měng]
鼍	[口口田乚,kkln,tuó]
隼	[亻圭十Ⓙ,wyfj,sǔn]
雎	[冃㇒亻圭,egwy,jū]
銎	[工几丶金,amyq,qióng_qiōng]
錾	[车斤金Ⓕ,lrqf,zàn]
鐾	[尸口辛金,nkuq,bèi]
鲎	[⺍冖魚一,ipqg,hòu]
鲔	[魚㇒𠂇冃,qgde,wěi]
鲵	[魚㇒臼儿,qgvq,ní]
鲼	[魚㇒十贝,qgfm,fèn]
鲽	[魚㇒廿木,qgas,dié]
鳆	[魚㇒𠂉夂,qgtt,fù]
鳋	[魚㇒又虫,qgcj,sāo]
鞒	[廿革㇒Ⓙ,aftj,qiáo]
髁	[骨冃曰木,mejs,kē]
饕	[口一㇉𧘇,kgne,tāo]
髹	[镸彡亻木,dews,xiū]
鬟	[镸彡罒𧘇,dele,huán]
黧	[禾勹丿灬,tqto,lí]
鼢	[臼㇙⺀刀,vnuv,fén]
倭	[亻禾女Ⓖ,wtvg,wō_wēi]
酆	[三丨三阝,dhdb,fēng]
坩	[土卄二Ⓖ,fafg,gān]
苜	[艹目Ⓕ,ahf,mù]
莜	[艹亻丨攵,awht,yóu_dí_diào]
莨	[艹丶彐𧘇,ayve,làng_liáng]
蓥	[艹冖金Ⓕ,apqf,yíng]
瞢	[艹罒冖目,alph,méng_měng]
呔	[口大丶Ⓨ,kdyy,dāi_tǎi_tāi]
夥	[曰木夕夕,jsqq,huǒ]
馕	[⺈㇙一𧘇,qnge,náng_nǎng]
汩	[氵曰Ⓖ,ijg,gǔ_yù]
骒	[马曰木Ⓨ,cjsy,kè]
纰	[纟匕匕Ⓝ,xxxn,pī_pí_bǐ]
玟	[王文Ⓨ,gyy,mín_wén]
炅	[曰火Ⓤ,jou,jiǒng_guì]
砬	[石立Ⓖ,dug,lì_lā_lá]
颃	[亠几丆贝,ymdm,háng]
麽	[广木木厶,yssc,mó_me_ma]
齄	[㇒目田一,thlg,zhā]
赜	[匚丨口贝,ahkm,zé]
劐	[艹亻圭刂,awyj,huō_huá_huò]
卺	[了氺一㔾,bigb,jǐn]
鄄	[覀土阝Ⓗ,sfbh,juàn]
圬	[土二㇉Ⓝ,ffnn,wū]
坜	[土厂力Ⓝ,fdln,lì]
蒇	[艹厂贝丿,admt,chǎn]
蒹	[艹丷彐亦,auvo,jiān]
蒗	[艹氵丶𧘇,aiye,làng]
蔟	[艹方𠂉大,aytd,cù]
掭	[扌一大,rgdn,tiàn]
搛	[扌丷彐亦,ruvo,jiān_lián]
擐	[扌罒一𧘇,rlge,huàn]
擗	[扌尸口辛,rnku,pǐ_bò]
帔	[冂丨皮又,mhhc,pèi]
岍	[山一廾Ⓗ,mgah,qiān]
崧	[山木八厶,mswc,sōng]
甯	[宀心用Ⓙ,pnej,níng_nìng]
嬲	[田力女力,llvl,niǎo]
骢	[马㇒囗心,ctln,cōng]
纥	[纟𠂉乙Ⓝ,xtnn,hé_gē]
枞	[木人人Ⓨ,swwy,cōng_zōng]
栊	[木犬匕Ⓝ,sdxn,lóng]
柙	[木甲Ⓗ,slh,xiá]
枳	[木口八Ⓨ,skwy,zhǐ]
椤	[木罒夕Ⓨ,slqy,luó_luǒ]
檗	[尸口辛木,nkus,bò]
搿	[龵人一手,rwgr,gé]
炀	[火𠄎〃Ⓣ,onrt,yáng]
烀	[火㇒丷㇚,otuh,hū]
穑	[禾十丷口,tfuk,sè]
裆	[衤⺌彐,puiv,dāng]
颍	[匕水丆贝,xidm,yǐng]
蚴	[虫幺力Ⓝ,jxln,yòu]
匦	[匚车九Ⓥ,alvv,guǐ]
劂	[厂丷凵刂,dubj,jué]
伧	[亻人㔾Ⓝ,wwbn,cāng_chen]
佧	[亻上卜Ⓨ,whhy,kǎ]
俜	[亻由一㇉,wmgn,pīng]
黉	[⺍冖龷八,ipaw,hóng]
馘	[丷㇒目㇒,uthg,guó]
凇	[冫木八厶,uswc,sōng]
谖	[讠爫二又,yefc,xuān]
陬	[阝耳又Ⓨ,bbcy,zōu]
郢	[口王阝Ⓗ,kgbh,yǐng]
鄯	[丷羊丷阝,udub,shàn]
垆	[土⺊尸Ⓣ,fhnt,lú]
坭	[土尸匕Ⓝ,fnxn,ní]
坶	[土母一Ⓤ,fxgu,mù_mǔ_méi]
埽	[土彐冖丨,fvph,sào_sǎo]
芄	[艹九丶Ⓤ,avyu,wán]
苊	[艹厂㔾Ⓑ,adbb,è]
芘	[艹匕匕Ⓑ,axxb,bì_pí]
苁	[艹人人Ⓤ,awwu,cōng]
芟	[艹几又Ⓤ,amcu,shān]
茆	[艹氏丿卩,aqtb,máo_mǎo]
荛	[艹弋丿儿,aatq,ráo]
荮	[艹纟寸Ⓤ,axfu,zhòu]
莰	[艹土冖人,afqw,kǎn]
莶	[艹人一兴,awgi,xiān_liǎn]
菪	[艹宀石Ⓕ,apdf,dàng]
蓣	[艹マ了贝,acbm,yù]
蕞	[艹曰耳又,ajbc,zuì]
薨	[艹罒冖匕,alpx,hōng]
蘧	[艹虍七辶,ahap,qú]
廾	[廾一丿丨,agth,gǒng]
尢	[𠂇乚Ⓥ,dnv,yóu_wāng]
揲	[扌廿㇗木,rans,shé_dié_yè]
揞	[扌立曰Ⓖ,rujg,ǎn]
搦	[扌弓冫冫,rxuu,nuò]
撖	[扌乛耳攵,rnbt,hàn_qiǎn]
攉	[扌⻗亻圭,rfwy,huō_huò_què]
攮	[扌一口𧘇,rgke,nǎng]
呤	[口人丶マ,kwyc,líng]
哜	[口文〢Ⓗ,kyjh,jì_jiē_zhāi]
哳	[口扌斤Ⓗ,krrh,zhā]
唣	[口白七Ⓝ,kran,zào]
啉	[口木木Ⓨ,kssy,lán_lín]
喱	[口厂曰土,kdjf,lí]
囗	[囗丨㇆一,lhng,wéi_guó]
帱	[冂丨三寸,mhdf,chóu_dào]
帻	[冂丨龶贝,mhgm,zé]
屺	[山己Ⓝ,mnn,qǐ]
岜	[山巴Ⓑ,mcb,bā]
崾	[山覀女Ⓖ,msvg,yǎo]
嵝	[山米女Ⓖ,movg,lǒu]
徂	[彳冃一Ⓖ,tegg,cú]
犸	[犭㇒马Ⓖ,qtcg,mǎ_mà]
狻	[犭㇒厶夂,qtct,suān]
猹	[犭㇒木一,qtsg,chá]
猸	[犭㇒尸目,qtnh,méi]
馇	[⺈㇙木一,qnsg,chā]
庀	[广匕Ⓥ,yxv,pǐ]
廑	[广廿口𤯓,yakg,jǐn_qín]
丬	[丬丶㇒丨,uygh,pán_qiáng]
氵	[氵丶丶㇒,iyyg,shuǐ]
汔	[氵𠂉乙Ⓝ,itnn,qì]
沲	[氵𠂉也Ⓝ,itbn,tuó_duò]
浯	[氵五口Ⓖ,igkg,wú]
浼	[氵⺈口儿,iqkq,měi]
渖	[氵宀曰丨,ipjh,shěn]
渫	[氵廿㇗木,ians,xiè]
湓	[氵八刀皿,iwvl,pén]
溻	[氵曰羽Ⓖ,ijng,tā]
迕	[𠂉十辶Ⓚ,tfpk,wǔ]
迮	[𠂉丨二辶,thfp,zé]
彐	[彐㇆一一,vngg,jì_xuě]
弪	[弓ス工Ⓖ,xcag,jìng]
屮	[凵丨Ⓚ,bhk,chè_cǎo]
妤	[女マ了Ⓗ,vcbh,yú]
娈	[亠亦女Ⓕ,yovf,luán]
胬	[女又冂人,vcmw,nǔ_nǚ]
媸	[女凵丨虫,vbhj,chī]
嫜	[女立早Ⓗ,vujh,zhāng]
尜	[小大小Ⓤ,idiu,gá]
孓	[了㇏Ⓘ,byi,jué]
驵	[马冃一Ⓖ,cegg,zǎng]
驺	[马⺈彐Ⓖ,cqvg,zōu]
骣	[马尸子子,cnbb,chǎn]
纟	[纟纟纟纟,xxxx,sī]
纩	[纟广Ⓣ,xyt,kuàng]
绋	[纟弓〢Ⓗ,xxjh,fú]
绐	[纟厶口Ⓖ,xckg,dài]
绱	[纟⺌冂口,ximk,shàng]
绲	[纟曰匕匕,xjxx,gǔn]
缡	[纟文凵厶,xybc,lí]
巛	[巛,vnnn,chuān_shùn]
玢	[王八刀Ⓝ,gwvn,bīn_fēn]
琚	[王尸古Ⓖ,gndg,jū]
璺	[亻二冂丶,wfmy,wèn]
杩	[木马Ⓖ,scg,mà_mǎ]
枘	[木冂人Ⓨ,smwy,ruì]
桕	[木臼Ⓖ,svg,jiù]
桊	[丷大木Ⓤ,udsu,juàn_quān]
桫	[木氵小丿,siit,suō]
椟	[木十乛大,sfnd,dú]
椠	[车斤木Ⓤ,lrsu,qiàn]
楗	[木彐二廴,svfp,jiàn]
楱	[木三人大,sdwd,còu_zòu_cōu]
榘	[𠂉大匚木,tdas,jǔ]
槔	[木白大十,srdf,gāo]
榱	[木亠口𧘇,syke,cuī]
槊	[丷凵丿木,ubts,shuò]
槭	[木厂上丿,sdht,qì_sè_qī]
槲	[木⺈用十,sqef,hú]
檠	[艹勹口木,aqks,qíng]
檎	[木人文厶,swyc,qín]
橼	[木纟彑豕,sxxe,yuán]
檑	[木⻗田Ⓖ,sflg,léi]
